Region,Zone,Woreda,Education,ESNFI,Health,Agriculture,Nutrition,Protection,WASH
South West Ethiopia,Bench Sheko,Sheko,,,,,,,RWB
Somali,Korahe,Shilabo,SCI,,,,,,
Somali,Siti,Shinile,SCI,,,,,,
Amhara,North Shewa (AM),Shoa Robit,DEC,,,,,,
Oromia,Shager City,Sululta,,,,,,,RHB
South West Ethiopia,West Omo,Surma,,,,,,,RWB
Afar,Hari /Zone 5,Telalek,,,,,, ACF ,
Oromia,Borena,Teltale,,,,, ACF , ACF ,"ACF, CARE"
Amhara,South Wello,Tenta,,,,SHA,,,
Afar,Fanti /Zone 4,Teru,,,MdM,, MdM , MdM ,
Amhara,South Wello,Thehulederie,,,IOM,,, ELiDA ,
Amhara,Wag Hamra,Tsagbeji,,,PI,," ACF, CARE "," ACF, PI ",ACF
Somali,Fafan,Tuliguled,SCI,,,,,,
South Ethiopia,Gofa,Uba Debre Tsehay,,,,FAO,,,
Oromia,East Borena,Wachile,,,CARE,, CARE ,,
Somali,Fafan,Wajale town,,IOM,,,,,
Afar,Kilbati /Zone2,Wasama,,,Humedica e.V,,,,RWB
Central Ethiopia,Guraghe,Welkite town,,,,,,,RWB
Benishangul-Gumuz,Metekel,Wembera,,,PI,,,,PI
Somali,Afder,West Imi,,,CWW,FAO,,,
Sidama,Sidama,Wondo-Genet,,,,,,,RHB
Oromia,Borena,Yabelo,,,,FAO," CARE, GOAL, PI "," CARE, Imagine 1 Day ",
Somali,Erer,Yahob,OWDA,,,,,,
Afar,Fanti /Zone 4,Yalo,Imagine 1 Day,,MdM,,, MdM ,
South Ethiopia,Gedeo,Yirgachefe,,,,, GOAL ,,GOAL
South West Ethiopia,Dawuro,Zabagazo,,,,"AEID, FAO",, AEID ,
South Ethiopia,Gofa,Zala,,,,FAO,,,
Tigray,Southern,Zata,,,Humedica e.V,,,,
Benishangul-Gumuz,Kamashi,Zayi,NRC,"NRC, UCD",,,,,
Amhara,Wag Hamra,Zequala,,CARE,,," ACF, CARE "," ACF, FHI 360 ",
Tigray,Mekelle,Mekelle,"SCI, Imagine 1 Day",IOM,PI,,," ActionAid, Alight, EECMY-DASSC, WAT, PI, FHE, DPO, PI, LWF, Imagine 1 Day, WAT ",IOM
Tigray,North Western,Indasilassie town,"IRC, SCI, EOTC-DICAC","ECC-SADCO, IOM, NRC","IOM, MTI, PI",," MTI, PI, WV "," EECMY-DASSC, Imagine 1 Day, IRC, CVT, IMC, IRC, PI ","DRC, IOM"
